especie,area,perimetro,raiomedio,raiosd,raiomin,raiomax,eixomaior,ecentricidade
jabuticaba,0.679920477137177,3.39869281045752,0.505150326797386,0.167398692810457,0.173856209150327,0.837908496732026,1.44894117647059,0.874
jabuticaba,1.55864811133201,5.28104575163399,0.777673202614379,0.271816993464052,0.364705882352941,1.2843660130719,2.39730718954248,0.931
jabuticaba,1.73426110006627,5.01960784313725,0.781908496732026,0.218509803921569,0.473281045751634,1.216,2.25121568627451,0.89
jabuticaba,1.66799204771372,4.91503267973856,0.758745098039216,0.225019607843137,0.444130718954248,1.16345098039216,2.28052287581699,0.904
jabuticaba,1.96222664015905,5.35947712418301,0.838196078431373,0.226640522875817,0.523058823529412,1.28616993464052,2.3436862745098,0.879
jabuticaba,1.34592445328032,4.75816993464052,0.701986928104575,0.206222222222222,0.371503267973856,1.09785620915033,2.00996078431373,0.891
jabuticaba,1.15772034459907,3.66013071895425,0.612052287581699,0.112522875816993,0.446718954248366,0.815372549019608,1.58849673202614,0.797
jabuticaba,3.17561298873426,6.95424836601307,1.07665359477124,0.282928104575163,0.674928104575163,1.66596078431373,2.93435294117647,0.871
jabuticaba,1.67992047713718,5.0718954248366,0.781281045751634,0.232627450980392,0.435764705882353,1.23011764705882,2.27749019607843,0.898
jabuticaba,2.52617627567926,6.79738562091503,1.0041568627451,0.33278431372549,0.470718954248366,1.64745098039216,2.93798692810457,0.918
jabuticaba,1.42279655400928,4.15686274509804,0.68559477124183,0.126300653594771,0.494300653594771,0.953908496732026,1.74117647058824,0.782
jabuticaba,1.23724320742213,5.35947712418301,0.753045751633987,0.316575163398693,0.217777777777778,1.2997385620915,2.50496732026144,0.958
jabuticaba,2.53280318091451,6.27450980392157,0.958013071895425,0.284052287581699,0.533516339869281,1.5002614379085,2.7358954248366,0.889
jabuticaba,0.843605036447979,3.71241830065359,0.55762091503268,0.169751633986928,0.272862745098039,0.876653594771242,1.60452287581699,0.89
